00:02 xoaii         : ali ale
21:11 Caothanh2008  : the ti anh
21:11 Caothanh2008  : mo cua cho em ra
21:11 Caothanh2008  : :)))
21:11 MinerwolfybtVn: nhốt
21:11 Caothanh2008  : ko con lenh home nx ha anh
21:11 MinerwolfybtVn: cos maf
21:11 Caothanh2008  : mn ko dung dc
21:11 Caothanh2008  : mnko dùng đc
21:12 Caothanh2008  : adu
21:12 Caothanh2008  : dc r ne
21:14 Caothanh2008  : khoi
21:14 Caothanh2008  : m con vo oc kp
21:14 khoi1309      : vỏ ốc ?
21:14 Caothanh2008  : ccái vỏ nautilus ấy
21:14 khoi1309      : ko có
21:14 Caothanh2008  : t co nghe m noi
21:15 Caothanh2008  : chat cc
21:15 Caothanh2008  : uk
21:15 Caothanh2008  : anh amnh luc kho r
21:15 Caothanh2008  : co 3 caithoi
21:15 Caothanh2008  : can them 5 cai nx
21:16 Caothanh2008  : sao
21:25 Caothanh2008  : co chx
21:25 Caothanh2008  : di 3 cai thuyen r co cai nao dau
21:26 khoi1309      : what
21:30 khoi1309      : what the heooo
21:30 khoi1309      : ai làm giffff
21:31 khoi1309      : đauuu
21:33 khoi1309      : quát :))
21:33 khoi1309      : :))
21:35 khoi1309      : gi
21:36 khoi1309      : ê thanh
21:37 khoi1309      : theo tui
21:37 Caothanh2008  : bt r
21:37 Caothanh2008  : cho xemcai na
21:37 khoi1309      : ụa stop
21:37 Caothanh2008  : ua
21:37 khoi1309      : cái chỗ kc đây đâu
21:37 Caothanh2008  : dau r
21:38 khoi1309      : tui mới thấy mà
21:38 khoi1309      : tui cũng định cho xem :))
21:38 Caothanh2008  : vc
21:38 Caothanh2008  : ve
21:40 Caothanh2008  : ra day em bao
21:40 Caothanh2008  : vc
21:40 Caothanh2008  : :)))
21:44 Caothanh2008  : xem ao thuat ko
21:45 Caothanh2008  : sao nam hay v
21:45 khoi1309      : , /lay
21:46 Caothanh2008  : ăn vạ
21:47 Caothanh2008  : manh
21:47 khoi1309      : :)
21:47 Caothanh2008  : ve nha
21:48 Caothanh2008  : cái j mà trả hả khôi
21:48 Caothanh2008  : :)))
21:49 Caothanh2008  : m chac chx
21:50 Caothanh2008  : cho ne
21:50 khoi1309      : đại gia :))
21:50 Caothanh2008  : đặt ra dc
21:51 Caothanh2008  : có đá đỏ nó cũng ngáp nx
21:51 Caothanh2008  : doi ti di lay redstone
21:51 Caothanh2008  : qua nha ad
21:52 khoi1309      : :)
21:53 khoi1309      : :))
21:54 Caothanh2008  : chi lam nhu nay
21:54 khoi1309      : , /kho
21:55 Caothanh2008  : cai dinh ba t dau r
21:55 Caothanh2008  : uk
21:55 Caothanh2008  : t giau
21:55 Caothanh2008  : t con
21:56 khoi1309      : bớ người ta
21:56 khoi1309      : có bắt cóc
21:57 khoi1309      : nghèo vãiiii
21:57 kemhehe       : =)))
21:57 Caothanh2008  : ai nghep
21:57 khoi1309      : teo :)
21:57 khoi1309      : I'm poor
22:20 kemhehe       : ./storage
